title,budget,revenue,vote_average,popularity,belongs_to_collection
Ca$h,7.0,0.046488,6.0,9.107828999999999,False
Leap Year,19.0,29.922472,6.5,7.432311,False
Morning Glory,40.0,58.78518,6.1,10.771255,False
Devil,10.0,33.583175,5.8,7.094276,False
Tooth Fairy,48.0,112.462508,5.2,6.744680000000001,True
Henry's Crime,12.0,0.20494,5.8,5.145185,False
The Book of Eli,80.0,157.107755,6.6,14.39853,False
The Spy Next Door,28.0,45.236543,5.5,6.663422,False
Shikshanachya Aaicha Gho,0.38,0.52,8.0,0.043519,False
Extraordinary Measures,31.0,15.134293,6.0,6.523155,False
Nasha Russia: Yaytsa sudby,2.0,22.212223,4.6,0.9952850000000001,False
Legion,26.0,67.918658,5.2,13.795875,False
Hesher,7.0,0.382946,6.7,5.886972,False
Tucker and Dale vs Evil,5.0,5.476793,7.3,6.7718679999999996,False
Waste Land,1.5,0.187716,7.6,2.627643,False
Edge of Darkness,80.0,74.901339,6.2,9.554067,False
Percy Jackson & the Olympians: The Lightning Thief,95.0,226.497209,6.0,9.785895,True
Kandahar,7.0,15.172408,6.4,1.0110290000000002,False
Dear John,25.0,114.977104,6.6,8.371478999999999,False
From Paris with Love,52.0,52.826594,6.2,6.885592999999999,False
Valentine's Day,52.0,216.485654,5.7,7.466721000000001,False
The Ghost Writer,45.0,60.222298,6.7,6.764819999999999,False
Loose Cannons,7.0,8.220215,7.1,5.633243,False
My Name Is Khan,12.0,42.34536,7.7,11.264586,False
Boy,3e-06,4.3e-05,7.5,3.308503,False
The Robber,3.9,0.208475,6.7,1.824255,False
Centurion,12.0,6.814789,6.0,13.00941,False
Halo Legends,0.1,1.0,6.9,1.731527,False
The Illusionist,18.0,5.602431,7.2,6.971611,False
Shutter Island,80.0,294.804195,7.8,15.813629,False
"Dear Guest, When Will You Leave?",3.75,5.0,6.2,0.597058,False
Vinnaithaandi Varuvaayaa,3.0,12.0,7.7,1.036233,False
The Crazies,20.0,54.95614,6.2,10.914556,False
Cop Out,30.0,55.583804,5.3,14.313079,False
Alice in Wonderland,200.0,1025.49111,6.4,17.285093,True
What Men Talk About,1.95,12.005838,7.6,3.022666,True
How to Train Your Dragon,165.0,494.878759,7.5,14.416681,True
She's Out of My League,20.0,49.779728,5.9,8.101247,False
Green Zone,100.0,94.882889,6.4,11.174041,False
Our Family Wedding,14.0,21.409028,5.7,8.204894,False
Remember Me,16.0,56.032889,6.9,8.307719,False
The Bounty Hunter,40.0,136.0,5.6,6.715263,False
Heartbreaker,8.7,47.355187,6.5,5.546687,False
Repo Men,32.0,18.409891,6.2,7.502967,False
Space Dogs,25.0,6.5,6.3,4.037707,True
The Runaways,10.0,2.995811,6.3,19.42051,False
Diary of a Wimpy Kid,15.0,75.700498,5.9,12.139919,True
TEKKEN,30.0,0.967,5.2,12.17886,True
Kick-Ass,28.0,96.188903,7.1,17.26045,True
Nanny McPhee and the Big Bang,35.0,93.246388,6.0,8.983275,True
Hot Tub Time Machine,36.0,64.572262,5.9,11.967652000000001,True
Shelter,22.0,0.851517,5.7,11.634377,False
Clash of the Titans,125.0,232.713139,5.6,11.972347000000001,True
The Perfect Game,12.5,3.878993,6.3,1.830829,False
Furry Vengeance,35.0,39.340177,4.6,10.794556,False
Why Did I Get Married Too?,20.0,60.072596,6.1,2.5768150000000003,True
Date Night,55.0,152.26388,5.9,8.443736,False
After.Life,4.5,3.606395,5.4,9.063797000000001,False
The Extraordinary Adventures of Adèle Blanc-Sec,25.0,34.1,5.9,6.710597999999999,False
The Debt,20.0,45.636368,6.2,8.426611,False
Death at a Funeral,21.0,49.050886,5.5,10.863441,False
Hooked on the Game 2. The Next Level,3.5,2.294357,5.1,0.8842409999999999,True
Ip Man 2,12.902809,36.0,7.2,1.9602,True
The Losers,25.0,23.58,6.2,12.798366999999999,False
The Back-Up Plan,35.0,77.477008,5.7,6.629999000000001,False
Behind the Burly Q,0.25,0.023859,5.5,0.38671700000000003,False
Iron Man 2,200.0,623.933331,6.6,19.083344,True
A Nightmare on Elm Street,35.0,115.664037,5.5,10.40191,True
Charlie St. Cloud,44.0,48.190704,6.8,6.273130999999999,False
Glukhar v kino,2.5,1.47703,5.9,0.209434,False
Badmaash Company,6.25,8.5,5.6,1.490661,False
Four Lions,0.967686,4.27,7.1,11.934045,False
The Switch,19.0,49.830607,5.9,5.6954080000000005,False
Last Night,7.0,7.644937,6.1,15.280219,False
Robin Hood,200.0,310.66954,6.2,10.56812,False
Princess Kaiulani,9.0,0.771499,4.8,1.818296,False
Shrek Forever After,165.0,752.600867,6.0,11.803808,True
Of Gods and Men,4.0,41.424067,6.5,4.4768360000000005,False
Prince of Persia: The Sands of Time,150.0,335.154643,6.2,18.459954999999997,False
StreetDance 3D,5.7731,18.14403,6.1,4.290276,True
Carlos,18.0,0.871279,6.7,4.558075,False
Fair Game,22.0,24.188922,6.5,6.3037849999999995,False
My Dear Desperado,0.8,4.214668,6.6,1.049484,False
MacGruber,10.0,6.11,5.1,11.107782,False
Sex and the City 2,100.0,288.347692,5.5,7.255991000000001,True
Singam,2.2,9.7,6.9,1.132835,True
4.3.2.1,4.6,1.163967,5.9,5.805666,False
Animal Kingdom,5.0,1.0,6.7,9.649312,False
Get Him to the Greek,40.0,90.029656,5.9,7.33335,False
Killers,75.0,98.159963,5.7,6.540621,False
Marmaduke,50.0,83.761844,5.0,12.285544999999999,False
Meet Monica Velour,5.0,0.031649,5.5,1.608163,False
The Karate Kid,40.0,357.852395,6.2,11.690781,False
The A-Team,110.0,177.238796,6.2,16.747792999999998,False
Winter's Bone,2.0,13.831503,6.8,7.27941,False
Knight and Day,117.0,261.930431,5.9,12.758942,False
Toy Story 3,200.0,1066.969703,7.6,16.96647,True
71: Into the Fire,10.4,20.96766,7.0,3.106814,False
I Spit on Your Grave,2.0,0.572809,6.3,12.805294,True
Wild Target,8.0,3.453043,6.4,6.712894,False
Raavan,4.5,4.2,4.2,1.160169,False
Monsters,0.5,4.242978,6.2,6.154375,True
Jonah Hex,47.0,10.539,4.5,9.482806,False
The Twilight Saga: Eclipse,68.0,698.491347,5.9,34.047399,True
Grown Ups,80.0,271.430189,6.0,23.981251,True
The Last Airbender,150.0,318.502923,4.7,9.544657,False
Predators,40.0,126.248813,6.0,9.034929,True
It's Kind of a Funny Story,8.0,6.49124,6.9,8.172013,False
Despicable Me,69.0,543.513985,7.1,22.274502,True
The Kids Are All Right,3.5,34.70585,6.5,5.899155,False
Rubber,0.5,0.098017,5.7,5.305905,False
Legend of the Guardians: The Owls of Ga'Hoole,80.0,140.07339,6.5,17.674048000000003,False
The Sorcerer's Apprentice,150.0,215.283742,5.9,12.533525,False
Inception,160.0,825.532764,8.1,29.108148999999997,False
The Secret World of Arrietty,37.0,145.570827,7.4,8.636052000000001,False
Salt,110.0,293.329073,6.2,8.704455000000001,False
Khatta Meetha,7.5,10.0,5.1,0.494047,False
Scott Pilgrim vs. the World,60.0,47.664559,7.2,13.793301000000001,False
Cats & Dogs 2 : The Revenge of Kitty Galore,85.0,112.483764,4.9,7.941636999999999,True
Dinner for Schmucks,69.0,86.387857,5.5,11.623717999999998,False
The Extra Man,7.0,0.453079,5.9,3.18614,False
The Expendables,80.0,274.470394,6.0,14.75562,True
Step Up 3D,30.0,159.291809,6.6,9.111782,True
This is Sodom,2.745,5.85,7.5,0.63535,False
Flipped,14.0,1.755212,7.4,10.279685,False
The Other Guys,100.0,170.432927,6.1,12.536621,False
"Tomorrow, When the War Began",27.0,16.504936,6.2,4.983475,False
Eat Pray Love,60.0,204.594016,5.8,15.904834,False
PEEPLI [Live],2.27,6.9,7.7,2.9272259999999997,False
The Chronicles of Narnia: The Voyage of the Dawn Treader,155.0,415.686217,6.2,12.383398,True
Vampires Suck,20.0,80.547866,4.2,8.129407,True
Piranha 3D,24.0,83.188165,5.3,8.212132,True
Secretariat,35.0,60.251371,6.8,7.681383,False
Hatchet II,2.5,0.052604,5.6,12.525758,True
Howl,0.03,0.617,6.8,5.416588,False
Takers,32.0,69.055695,6.1,7.000421,False
The Last Exorcism,1.8,67.73809,5.6,6.3971089999999995,True
Inhale,10.0,0.055089,6.3,4.163207,False
The American,20.0,65.464324,5.8,7.2756490000000005,False
Going the Distance,32.0,42.045846,6.0,6.876053,False
Machete,20.0,31.327899,6.3,7.120403,True
Wall Street: Money Never Sleeps,70.0,134.748021,5.8,9.819864,True
The Way Back,30.0,20.348249,6.8,9.402082,False
Incendies,6.8,7.103838,7.9,8.596012,False
The King's Speech,15.0,414.211549,7.6,11.260387,False
Super,2.5,0.324138,6.6,8.309635,False
Resident Evil: Afterlife,60.0,300.228084,5.8,0.452934,True
13 Assassins,6.0,17.555141,7.1,9.534232000000001,False
The Virginity Hit,2.0,0.563706,4.6,2.235068,False
Easy A,8.0,74.952305,6.7,15.138144,False
The Conspirator,25.0,15.4788,6.2,5.481452,False
Logan,0.135,0.010474,5.3,0.5888720000000001,False
Late Autumn,6.2,4.82,6.9,1.077252,False
The Romantics,4.5,0.12382,4.8,8.786269,False
Trust,9.5,0.12,6.6,7.778097,False
Vanishing on 7th Street,10.0,1.068682,4.8,8.419427,False
Conviction,12.5,6.73298,7.0,11.024462,False
Beginners,3.2,5.332926,6.8,6.726389999999999,False
Dirty Girl,4.0,0.055125,6.4,10.964499,False
Insidious,1.5,97.00915,6.8,17.24814,True
The Ward,10.0,0.498974,5.8,5.727987000000001,False
Never Let Me Go,15.0,9.455232,6.8,8.278794,False
The Town,37.0,154.026136,7.0,13.081203,False
Sarah's Key,10.0,17.511906,7.2,6.0912239999999995,False
Casino Jack,12.5,1.083683,6.0,8.5508,False
Alpha and Omega,20.0,39.3,5.3,8.16645,True
Catfish,0.03,3.045943,6.5,5.174738,False
Detective Dee and the Mystery of the Phantom Flame,13.0,51.723285,6.5,7.17548,True
You Again,20.0,32.005248,6.0,12.820452000000001,False
Anjaana Anjaani,6.4,5.9,6.1,1.8229400000000002,False
Buried,1.98765,19.15248,6.6,7.389436999999999,False
Pro Lyuboff,2.0,1.268793,4.0,0.12184400000000001,False
The Social Network,40.0,224.920315,7.1,16.972995,False
Stake Land,0.65,0.033245,6.2,7.814255,True
Let Me In,20.0,24.145613,6.7,11.11946,False
Enthiran,26.4,62.0,6.5,4.330396,False
Freakonomics,3.0,0.103735,6.7,2.444847,False
Welcome to the South,4.0,65.584679,6.6,6.700081,True
Life As We Know It,38.0,105.610124,6.6,7.824961999999999,False
Skinning,0.5,0.000198,5.9,1.018477,False
Stone,22.0,9.479718,5.2,11.275132000000001,False
My Soul to Take,25.0,19.829957,5.2,5.282976000000001,False
Inside Job,2.0,7.871522,7.7,10.30535,False
Black Bread,6.0,3.770657,6.9,3.546146,False
RED,58.0,71.664962,6.6,12.595165,True
Everything Must Go,5.0,2.614773,6.0,4.779994,False
Hereafter,50.0,105.197635,5.8,7.942766000000001,False
Jackass 3D,20.0,117.224271,6.4,10.997518,True
Harry Potter and the Deathly Hallows: Part 1,250.0,954.305868,7.5,23.300362,True
West Is West,3.837625,3.867,6.3,0.7496649999999999,True
Little White Lies,25.0,48.53147,7.1,7.594334,False
Paranormal Activity 2,3.0,177.512032,5.7,7.388933,True
Saw: The Final Chapter,20.0,136.150434,5.8,16.626655,True
The Company Men,15.0,4.882577,6.4,5.858803,False
Barney's Version,30.0,8.454301,7.2,7.524794,False
The Other Woman,30.0,102.0,6.0,6.212898,False
Megamind,130.0,321.887208,6.7,11.603905000000001,False
Burke & Hare,10.0,4.349187,6.1,7.787592999999999,False
Troll Hunter,3.5,4.159678,6.7,6.097683999999999,False
The Princess of Montpensier,14.734,6.775121,6.4,2.156145,False
Due Date,65.0,211.780824,6.2,11.73956,False
Unstoppable,100.0,167.805466,6.3,12.697059,False
Another Year,8.0,18.124262,7.0,5.000657,False
127 Hours,18.0,35.69292,7.0,11.176797,False
Don't Be Afraid of the Dark,25.0,36.993168,5.4,8.67817,False
London Boulevard,25.0,4.644108,5.7,11.421915,False
Skyline,10.0,66.821036,4.7,7.676017,False
Tiny Furniture,0.065,0.416498,5.6,2.799356,False
The Next Three Days,30.0,51.148651,6.9,9.591425,False
Love & Other Drugs,30.0,102.820008,6.6,7.575696000000001,False
Faster,24.0,23.081726,6.1,9.014972,False
Burlesque,55.0,89.519773,6.9,9.276539,False
Tangled,260.0,591.794936,7.4,14.684760999999998,True
The Nutcracker: The Untold Story,90.0,16.178959,5.3,3.3949279999999997,False
Space Battleship Yamato,12.0,11.212294,6.3,5.23198,False
Black Swan,13.0,327.803731,7.3,12.989056,False
The Warrior's Way,42.0,11.087569,6.3,5.510805,False
The Tourist,100.0,278.731369,6.0,12.845044999999999,False
New Kids Turbo,1.5,8.786756,6.3,4.330658000000001,True
TRON: Legacy,170.0,400.062763,6.3,21.259,True
Beyond,3.0,4.80008,6.2,0.702712,False
Yogi Bear,80.0,201.584141,5.2,6.598296,False
Six Degrees of Celebration,5.0,22.772019,6.1,2.025505,True
Rabbit Hole,5.0,5.129058,6.8,7.007992999999999,False
The Last Circus,7.0,3.218666,6.6,4.896196,False
The Fighter,25.0,93.617009,7.2,14.141836999999999,False
How Do You Know,120.0,48.668907,4.9,5.458387,False
Little Fockers,100.0,310.650585,5.5,9.739410000000001,True
Country Strong,15.0,20.529194,5.9,4.582024,False
True Grit,38.0,252.276927,7.2,10.730765,False
Gulliver's Travels,112.0,237.382724,4.9,7.565799,False
Blue Valentine,3.5,16.56624,6.9,11.107914,False
Tri bogatyrya i Shamakhanskaya tsaritsa,3.0,19.010585,5.6,1.412333,True
The Last Godfather,13.4,16.7,4.7,1.223071,False
The Good Doctor,6.0,0.005206,5.0,8.278079,False
Season of the Witch,40.0,88.1,5.2,13.471159,False
The Green Hornet,120.0,227.817248,5.5,7.888013000000001,False
The Dilemma,70.0,67.112664,5.2,7.5130669999999995,False
The Mechanic,40.0,51.070807,6.3,9.832342,True
Gnomeo & Juliet,36.0,189.712432,5.8,9.244469,False
Aadukalam,4.0,6.0,6.8,0.372987,False
The Best Movie 3-DE,6.5,9.816332,3.0,0.8774770000000001,True
Shaolin,29.0,33.662874,6.5,5.3112449999999995,False
No Strings Attached,25.0,147.78044,6.1,8.88057,False
Silent House,2.0,13.101672,5.2,10.239941,False
Beastly,17.0,43.165571,5.9,7.364563,False
Life in a Day,0.045202,0.225861,7.3,4.9555419999999994,False
From Prada to Nada,9.3e-05,2.5,5.0,11.096527,False
The Rite,37.0,96.047633,5.8,7.128117,False
Kokowaah,5.65,43.0,6.4,5.24461,True
Chalet Girl,8.0,1.749457,6.4,6.496258999999999,False
On the Hook!,3.0,1.957,4.7,0.44526899999999997,False
Sanctum,30.0,108.60931,5.8,7.000775,False
The Roommate,16.0,40.492759,5.3,8.453292999999999,False
The Eagle,25.0,27.12204,5.9,6.196929,False
Just Go with It,80.0,214.918407,6.3,9.267959,False
Justin Bieber: Never Say Never,13.0,98.441954,4.8,5.892524,False
The Beaver,21.0,0.970816,6.2,5.484379,False
The Devil's Double,19.1,5.728213,6.5,6.681211,False
Coriolanus,7.7,1.072602,5.9,6.9146149999999995,False
Paul,40.0,97.55205,6.5,10.24382,False
Unknown,30.0,130.786397,6.5,14.443598999999999,False
"Big Mommas: Like Father, Like Son",32.0,83.615414,5.3,7.564777,True
I Am Number Four,50.0,144.49283,5.9,9.388376,False
Drive Angry,50.0,28.931401,5.3,7.668829,False
Pina,4.317946,14.624826,7.3,12.452985,False
Hall Pass,36.0,83.160734,5.4,9.13273,False
Rango,135.0,245.724603,6.6,10.581925,False
One Day,15.0,59.389433,7.0,11.239011999999999,False
The Adjustment Bureau,50.2,127.869379,6.5,9.420301,False
Take Me Home Tonight,19.0,6.928068,6.2,8.132811,False
Battle: Los Angeles,70.0,202.466756,5.5,6.7537460000000005,False
Limitless,27.0,161.849455,7.1,12.114955,False
Mars Needs Moms,150.0,38.992758,5.6,7.24717,False
Vipers Nest,3.5,18.0,5.2,1.426776,False
Red Riding Hood,42.0,89.162162,5.7,10.174298,False
The Divide,3.0,0.022,5.7,7.4066089999999996,False
Water for Elephants,38.0,114.15623,6.7,7.649466,False
The Twilight Saga: Breaking Dawn - Part 1,110.0,712.171856,5.8,25.9725,True
Dylan Dog: Dead of Night,20.0,4.634062,4.5,12.763976,False
The Lincoln Lawyer,40.0,85.412898,7.0,6.807442,False
Win Win,10.831173,10.654385,6.7,4.480723,False
The Music Never Stopped,4.0,0.253899,7.3,13.504064999999999,False
Sucker Punch,82.0,89.792502,5.9,13.779526999999998,False
Tanu Weds Manu,0.4,0.252,6.1,1.252133,True
Diary of a Wimpy Kid: Rodrick Rules,21.0,72.417394,6.3,8.425361,True
Hop,63.0,183.953723,5.5,8.904488,False
Source Code,32.0,147.332697,7.1,9.796961999999999,False
Boris - Il film,3.34785,1.248748,6.8,2.906503,False
Rio,90.0,484.63576,6.5,10.403228,True
Hanna,30.0,63.782078,6.5,8.071196,False
Arthur,40.0,45.735397,5.3,9.698075,False
Soul Surfer,18.0,47.08899,6.9,11.009053,False
Thank You,13.1,4.1,5.7,1.417392,False
Your Highness,49.9,26.121638,5.2,5.67375,False
A Lonely Place to Die,4.0,25.345,6.2,6.780752000000001,False
Scream 4,40.0,97.138686,6.1,10.000721,True
Winnie the Pooh,30.0,14.46,6.8,7.3576820000000005,False
Road to Nowhere,5.0,0.027046,5.0,1.744659,False
Atlas Shrugged Part I,15.0,4.627375,5.0,3.4949,True
5 Days of War,20.0,0.017479,5.8,3.174512,False
Bellflower,0.017,0.101236,6.4,7.759376,False
William & Kate,2e-05,1.5e-05,5.8,2.4936380000000002,False
Fast Five,125.0,626.137675,7.1,1.420361,True
Thor,150.0,449.326618,6.6,29.158489000000003,True
Madea's Big Happy Family,25.0,53.213633,6.7,2.5035939999999997,False
Bridesmaids,32.5,288.383523,6.5,6.8109910000000005,False
Prom,8.0,10.13,5.7,6.1676459999999995,False
Hoodwinked Too! Hood VS. Evil,30.0,13.521829,4.8,9.382577000000001,True
Sunny,3.55,48.0,8.0,2.7002330000000003,False
Priest,60.0,78.309131,5.4,8.259952,False
Something Borrowed,35.0,59.901913,5.9,5.47309,False
Jumping the Broom,6.6,37.71061,6.0,2.664211,False
The Ledge,10.0,0.610986,5.9,4.8830849999999995,False
Hobo with a Shotgun,3.0,0.748453,5.7,10.926038,False
Midnight in Paris,30.0,151.119219,7.4,11.43256,False
Attack the Block,14.350531,3.964682,6.3,9.93263,False
Pirates of the Caribbean: On Stranger Tides,380.0,1045.713802,6.4,27.88772,True
The Artist,15.0,133.432856,7.3,11.440947999999999,False
Bad Teacher,20.0,216.197492,5.4,7.3106860000000005,False
The Tree of Life,32.0,54.674226,6.5,11.204539,False
Blitz,15.774948,0.741875,6.0,9.491864999999999,False
X-Men: First Class,160.0,353.624124,7.1,0.738633,True
The Hangover Part II,80.0,254.455986,6.2,21.893532,True
Kung Fu Panda 2,150.0,665.692281,6.7,11.481921,True
Melancholia,7.4,21.817298,7.0,8.124767,False
"Love, Wedding, Marriage",1e-06,0.001378,5.1,4.060122,False
Super 8,50.0,260.095987,6.6,19.529911,False
Judy Moody and the Not Bummer Summer,20.0,14.166853,5.1,2.3213939999999997,False
Cars 2,200.0,559.852396,5.8,13.693001999999998,True
17 Girls,4.141459,0.201607,5.6,5.109329,False
Green Lantern,200.0,219.851172,5.1,13.985631,False
Mr. Popper's Penguins,55.0,187.361754,5.7,15.214342000000002,False
L!fe Happens,0.93,0.030905,5.3,10.114319,False
A Better Life,10.0,1.759252,7.0,3.0337970000000003,False
Transformers: Dark of the Moon,195.0,1123.746996,6.1,4.5035050000000005,True
Larry Crowne,30.0,36.160375,5.7,10.778027999999999,False
Delhi Belly,4.09,18.035,7.0,1.932489,False
Monte Carlo,20.0,17.425,6.0,8.34835,False
1911,30.0,0.108348,5.0,3.8351309999999996,False
Zookeeper,80.0,169.852759,5.3,11.341084,False
The Guard,6.0,19.560274,6.8,11.256636,False
Harry Potter and the Deathly Hallows: Part 2,125.0,1342.0,7.9,24.990737,True
Horrible Bosses,35.0,117.0,6.4,9.856955000000001,True
The Monk,11.0,0.807535,5.8,8.888717999999999,False
Snow Flower and the Secret Fan,0.134005,1.332231,5.3,2.003832,False
Apollo 18,5.0,25.562924,5.0,10.711742,False
Friends with Benefits,35.0,150.483765,6.5,10.009007,False
Pregnant,2.0,8.0,3.1,0.397106,False
Singham,3.062,25.034,7.0,2.07741,True
Another Earth,0.1,1.776935,6.8,8.957372,False
Captain America: The First Avenger,140.0,370.569774,6.6,19.323582000000002,True
Colombiana,40.0,60.965854,6.5,8.062578,False
Cowboys & Aliens,163.0,174.822325,5.4,10.958669,False
"Crazy, Stupid, Love.",50.0,142.851197,7.0,10.246172999999999,False
The Smurfs,110.0,563.749323,5.5,10.219758,True
Rise of the Planet of the Apes,93.0,482.860185,7.0,41.613762,True
The Change-Up,52.0,75.450437,5.9,6.9061449999999995,False
Drive,15.0,78.054825,7.4,15.388875,False
The Help,25.0,124.272124,7.9,7.486117999999999,False
War of the Arrows,8.0,49.0,6.7,7.030308,False
Glee: The Concert Movie,9.0,18.663238,6.9,9.202416,False
30 Minutes or Less,28.0,40.54744,5.6,9.763492999999999,False
Final Destination 5,47.0,157.887643,5.9,12.912491000000001,True
The Awakening,4.798235,0.209696,6.3,9.336568,False
Conan the Barbarian,90.0,48.795021,5.2,10.949076,False
The Skin I Live In,13.0,5.774854,7.4,9.782542,False
Fright Night,17.0,24.922237,6.0,9.665251,True
Spy Kids: All the Time in the World,27.0,85.56431,4.4,9.580214,True
Red State,4.0,1.104682,5.9,6.340655,False
Flypaper,5.0,3.142154,6.2,8.132748,False
Our Idiot Brother,10.0,17.273593,5.9,5.918193,False
Higher Ground,2.0,0.841733,5.3,1.137468,False
Remington and the Curse of the Zombadings,0.022361,0.721651,5.3,0.673247,False
The Three Musketeers,75.0,132.274484,5.6,6.303466,False
Bodyguard,0.00013,8e-06,5.2,2.402032,False
Mankatha,6.1,28.0,5.6,1.145752,False
W.E.,15.0,0.868439,5.8,4.974482,False
Shark Night,28.0,10.126458,4.9,6.062425,False
Kill List,0.5,0.17176,6.0,15.014569,False
Seeking Justice,17.0,12.355798,5.8,10.250997,False
Wuthering Heights,8.0,0.100915,6.0,5.276685,False
The Raid,1.1,4.105187,7.3,10.528833,True
Contagion,60.0,137.551594,6.2,8.244359,False
Elles,4.0,0.911466,5.1,9.921433,False
The Descendants,20.0,177.243185,6.7,11.794753,False
Mere Brother Ki Dulhan,5.51,18.05,6.5,1.8388650000000002,False
Warrior,25.0,23.057115,7.7,13.121626000000001,False
Salmon Fishing in the Yemen,5.0,34.564651,6.3,6.753328,False
Killer Joe,10.0,3.665069,6.4,6.452069,False
